user_id,key,superfit_dis,superfit_sin,superfit_cur,superfit_int,superfit_eng,superfit_res
1367049,SF_DS,58.00,56.00,44.00,44.00,48.00,50.00
1126456,SF_DS,54.00,48.00,16.00,42.00,36.00,34.00
833472,SF_DS,44.00,42.00,40.00,36.00,36.00,30.00
1302368,SF_DS,50.00,46.00,32.00,36.00,28.00,44.00
1097626,SF_DS,70.00,68.00,48.00,56.00,54.00,66.00
1112513,SF_DS,54.00,52.00,40.00,38.00,30.00,44.00
1117282,SF_DS,56.00,52.00,42.00,42.00,40.00,50.00
1233648,SF_DS,58.00,50.00,26.00,40.00,32.00,48.00
1306032,SF_DS,72.00,72.00,50.00,42.00,42.00,46.00
1320986,SF_DS,50.00,56.00,28.00,42.00,48.00,48.00
